"pressure","concentration","velocity:0","velocity:1","velocity:2","ALE_velocity:0","ALE_velocity:1","ALE_velocity:2","heaviside","edgeSize","kappa","distance","gravity:0","gravity:1","gravity:2","surface_force:0","surface_force:1","surface_force:2","normal:0","normal:1","normal:2","viscosity","density","Points:0","Points:1","Points:2"
1.1263,0,0.0018388,0.024695,-0.037085,0.0018087,0.025887,-0.036045,0.5,0.050529,3.8119,0,0,0,-1,-0.00011337,0.0017575,-0.0016882,-0.0029835,-0.75619,0.65391,0.95,0.55,0,-0.42148,-0.51842
1.1283,0,0.0018255,0.024743,-0.036714,0.0017444,0.025821,-0.035809,0.5,0.050297,3.8179,0,0,0,-1,-8.3115e-05,0.0017765,-0.0016615,-0.0030575,-0.76104,0.64822,0.95,0.55,0,-0.42385,-0.5212
1.0871,0,0.0019674,0.021912,-0.044975,0.0018343,0.027086,-0.041229,0.5,0.045747,3.6708,0,0,0,-1,7.0811e-05,0.0016934,-0.001976,-0.0028841,-0.62553,0.77986,0.95,0.55,0,-0.35491,-0.45458
1.1031,0,0.0019753,0.023237,-0.042219,0.0023651,0.026776,-0.03939,0.5,0.048833,3.7239,0,0,0,-1,-5.8843e-05,0.0014744,-0.0016086,-0.0029339,-0.68144,0.73114,0.95,0.55,0,-0.38388,-0.47973
1.0105,0,0.001436,0.0017965,-0.056406,-0.0062279,-0.0017349,-0.057047,0.5,0.041778,3.3886,0,0,0,-1,-1.7887e-05,0.00011049,-0.0017681,-0.0030937,-0.041808,0.99856,0.95,0.55,0,-0.025263,-0.33359
1.0106,0,0.0013931,0.0032939,-0.056267,-0.0048106,0.0012643,-0.056851,0.5,0.043461,3.3944,0,0,0,-1,4.7597e-06,0.0001131,-0.0018561,-0.0029727,-0.082303,0.99584,0.95,0.55,0,-0.049036,-0.33513
1.0109,0,0.0015481,0.00074038,-0.05644,-0.0063288,-0.0034223,-0.056981,0.5,0.041114,3.3888,0,0,0,-1,-2.7138e-05,9.4396e-05,-0.0017905,-0.0030474,-0.018592,0.99929,0.95,0.55,0,-0.011613,-0.33317
1.0139,0,0.0016291,0.0049658,-0.05593,-0.0047072,0.0042115,-0.056549,0.5,0.041117,3.3987,0,0,0,-1,1.0062e-05,0.00012793,-0.0017371,-0.0030299,-0.1195,0.99228,0.95,0.55,0,-0.070851,-0.33731
1.0191,0,0.0019169,0.0093442,-0.054116,-0.0033888,0.014272,-0.053149,0.5,0.045153,3.4327,0,0,0,-1,-8.2104e-06,0.00072071,-0.0021961,-0.0031336,-0.24919,0.96821,0.95,0.55,0,-0.14622,-0.35118
1.0222,0,0.001907,0.010305,-0.053841,-0.0041552,0.017087,-0.05211,0.5,0.044197,3.4427,0,0,0,-1,-4.6799e-06,0.0007122,-0.0020647,-0.0032038,-0.27083,0.96196,0.95,0.55,0,-0.15869,-0.35479
1.0152,0,0.0016728,0.005868,-0.055424,-0.0043532,0.0065829,-0.055806,0.5,0.040657,3.4031,0,0,0,-1,-3.7729e-06,0.00022694,-0.001723,-0.0029925,-0.1528,0.98773,0.95,0.55,0,-0.090297,-0.33997
1.017,0,0.0016265,0.0065276,-0.055146,-0.0042209,0.0084025,-0.055205,0.5,0.043219,3.4126,0,0,0,-1,2.8804e-05,0.0003475,-0.0019297,-0.0029886,-0.18106,0.98281,0.95,0.55,0,-0.10672,-0.34273
1.0094,0,0.0018607,-0.0016207,-0.056385,-0.0079023,-0.0067932,-0.056932,0.5,0.035647,3.3862,0,0,0,-1,-5.048e-05,-4.2292e-05,-0.0014473,-0.0029672,0.03096,0.99949,0.95,0.55,0,0.017792,-0.33319
1.0186,0,0.0019002,0.0090322,-0.054166,-0.0035557,0.013722,-0.053261,0.5,0.045338,3.4295,0,0,0,-1,-2.8626e-06,0.00069259,-0.0022123,-0.0030843,-0.24131,0.9701,0.95,0.55,0,-0.14167,-0.35008
1.0295,0,0.0018495,0.012279,-0.05338,-0.0058638,0.021239,-0.050565,0.5,0.042569,3.4643,0,0,0,-1,2.3625e-05,0.00068939,-0.0017997,-0.0033171,-0.31509,0.94863,0.95,0.55,8.6736e-19,-0.18415,-0.36248
1.0389,0,0.0017966,0.014109,-0.052365,-0.014443,0.025654,-0.047994,0.5,0.042927,3.4909,0,0,0,-1,-2.1476e-05,0.00071276,-0.0017206,-0.0032196,-0.37622,0.92576,0.95,0.55,3.4694e-18,-0.21895,-0.37549
1.2513,0,0.00057647,0.015591,-0.0089624,0.00094116,0.013028,-0.021137,0.5,0.057211,4.2412,0,0,0,-1,-6.2624e-05,0.0045774,-0.00088822,-0.0031175,-0.97624,0.21233,0.95,0.55,0,-0.52313,-0.71822
1.282,0,0.0012274,0.0088176,-0.0019293,0.00086382,0.0072768,-0.018957,0.5,0.058304,4.3391,0,0,0,-1,-7.173e-05,0.0053887,-0.00057541,-0.0036978,-0.99499,0.090497,0.95,0.55,0,-0.53108,-0.76852
1.1062,0,0.0019741,0.023499,-0.04166,0.0024656,0.026705,-0.039024,0.5,0.049424,3.7345,0,0,0,-1,-8.5434e-05,0.0014433,-0.0015466,-0.002939,-0.69228,0.72155,0.95,0.55,0,-0.38949,-0.48467
1.0483,0,0.0019349,0.016296,-0.050643,-0.018458,0.029531,-0.044495,0.5,0.043462,3.5235,0,0,0,-1,3.1588e-05,0.00062214,-0.0014284,-0.0032767,-0.44108,0.89719,0.95,0.55,0,-0.25538,-0.3915
1.0582,0,0.0020767,0.018631,-0.049075,-0.0089642,0.028554,-0.04374,0.5,0.045031,3.569,0,0,0,-1,5.3479e-05,0.0012065,-0.0021031,-0.0031613,-0.4965,0.86705,0.95,0.55,0,-0.2858,-0.40797
1.106,0,0.0019674,0.023484,-0.041712,0.0024697,0.026714,-0.039062,0.5,0.049342,3.7333,0,0,0,-1,-8.3537e-05,0.0014309,-0.001535,-0.002948,-0.69138,0.72241,0.95,0.55,0,-0.38903,-0.48424
1.0319,0,0.00189,0.012809,-0.053091,-0.0082864,0.022513,-0.049758,0.5,0.042518,3.4731,0,0,0,-1,2.8104e-05,0.00072129,-0.0017898,-0.0033414,-0.33299,0.94232,0.95,0.55,-8.6736e-19,-0.19436,-0.36607
1.1536,0,0.00030119,-0.025891,-0.029738,-0.0013505,-0.023073,-0.034131,0.5,0.053335,3.9233,0,0,0,-1,2.8812e-05,-0.0022662,-0.0014583,-0.0037964,0.82248,0.56663,0.95,0.55,0,0.45243,-0.56021
1.1393,0,0.00025528,-0.025704,-0.03382,-0.0017825,-0.023829,-0.036362,0.5,0.051278,3.8652,0,0,0,-1,0.0002378,-0.0023077,-0.0016654,-0.0037468,0.77392,0.63217,0.95,0.55,0,0.42911,-0.52881
1.1357,0,0.00030563,-0.025669,-0.034614,-0.0019224,-0.024071,-0.036789,0.5,0.050562,3.853,0,0,0,-1,0.00024171,-0.0022218,-0.0016567,-0.0036781,0.76342,0.64501,0.95,0.55,0,0.42399,-0.5226
1.1123,0,0.00021045,-0.024808,-0.039725,-0.0027491,-0.025974,-0.038932,0.5,0.047711,3.7752,0,0,0,-1,0.00017944,-0.0021535,-0.0026866,-0.0034758,0.70311,0.71089,0.95,0.55,0,0.39407,-0.49003
1.0504,0,0.00035962,-0.018027,-0.048911,-0.042546,-0.04472,-0.035572,0.5,0.044352,3.5328,0,0,0,-1,-2.657e-05,-0.00094545,-0.0019034,-0.003675,0.46388,0.88495,0.95,0.55,-1.7347e-18,0.26725,-0.39838
1.0555,0,0.00049766,-0.019101,-0.048363,-0.037198,-0.043981,-0.035144,0.5,0.043031,3.5461,0,0,0,-1,-1.8242e-05,-0.00097572,-0.0017508,-0.0036384,0.48898,0.87176,0.95,0.55,0,0.28117,-0.40572
1.1646,0,0.00019485,-0.025684,-0.027121,-0.0012241,-0.022395,-0.03263,0.5,0.051777,3.9596,0,0,0,-1,0.00010254,-0.002533,-0.0015234,-0.0042597,0.84673,0.52982,0.95,0.55,-3.4694e-18,0.46382,-0.57749
1.1116,0,0.00021225,-0.024786,-0.039872,-0.0028101,-0.026053,-0.038994,0.5,0.047569,3.773,0,0,0,-1,0.00017551,-0.0021493,-0.0026974,-0.0034415,0.701,0.713,0.95,0.55,0,0.39301,-0.48898
1.1802,0,0.00037773,-0.025143,-0.023643,-0.00096363,-0.021432,-0.030588,0.5,0.051708,4.0112,0,0,0,-1,0.0001167,-0.002879,-0.0016679,-0.0042837,0.87478,0.48212,0.95,0.55,0,0.47684,-0.59965
2.3385,0,-0.00037541,0.053124,-0.043199,-0.027937,0.018702,-0.044718,0.5,0.064598,0.93317,0,0,0,-1,-1.3826e-05,-5.8625e-05,0.0010647,-0.002474,0.056729,-0.99821,0.95,0.55,1.7347e-18,0.097345,-1.1749
2.1405,0,0.0023526,0.069169,-0.043906,-0.055936,0.0066847,-0.049703,0.5,0.062818,1.4857,0,0,0,-1,-2.3073e-05,-6.4473e-05,0.0020863,-0.0027244,0.092214,-0.99556,0.95,0.55,0,0.14115,-1.1721
2.4752,0,0.0059436,-0.024538,-0.047081,0.0011354,-0.0039662,-0.046473,0.5,0.065427,0.69506,0,0,0,-1,-7.294e-05,-6.8887e-05,0.00090479,-0.0091384,0.0026613,-0.99991,0.95,0.55,0,-0.034955,-1.1785
2.4501,0,0.0035771,0.0080437,-0.043921,-0.0043555,0.0045905,-0.043659,0.5,0.064364,0.39245,0,0,0,-1,1.7488e-08,-2.7136e-06,0.00030922,-0.0072686,0.022359,-0.99971,0.95,0.55,4.3368e-19,0.020215,-1.1777
1.3191,0,0.00027515,-0.0023397,0.0070219,-0.0012564,-0.0024919,-0.013802,0.5,0.058683,4.4287,0,0,0,-1,-1.265e-05,-0.0048045,0.00025823,-0.0053173,0.9982,-0.012835,0.95,0.55,0,0.53097,-0.80877
1.297,0,0.00042393,-0.0070314,0.0038207,-0.00093316,-0.0060585,-0.015206,0.5,0.04879,4.3708,0,0,0,-1,-0.00029012,-0.0035413,-8.441e-05,-0.004378,0.99767,0.051873,0.95,0.55,0,0.53033,-0.78298
1.8569,0,0.0091828,-0.084323,-0.043762,-0.15017,-0.11492,-0.031023,0.5,0.059488,2.6159,0,0,0,-1,2.7256e-05,0.00045036,0.0024487,-0.006548,-0.18794,-0.98182,0.95,0.55,0,-0.21951,-1.1654
1.8976,0,0.0075457,-0.078157,-0.045651,-0.12708,-0.1073,-0.033339,0.5,0.059158,2.3962,0,0,0,-1,4.4452e-05,0.00034209,0.0019958,-0.0050888,-0.16305,-0.98598,0.95,0.55,0,-0.20289,-1.168
1.2214,0,0.0012472,0.020532,-0.016581,0.00060137,0.017903,-0.02432,0.5,0.059731,4.1369,0,0,0,-1,-0.00024968,0.0042223,-0.0016747,-0.003167,-0.94033,0.33487,0.95,0.55,0,-0.50768,-0.66568
1.245,0,0.00062177,0.016719,-0.010289,0.00096151,0.014027,-0.021753,0.5,0.057469,4.2217,0,0,0,-1,-6.0716e-05,0.0044007,-0.0010008,-0.0029772,-0.97042,0.23668,0.95,0.55,0,-0.52066,-0.7079
1.2091,0,0.0017957,0.021904,-0.019645,0.00057475,0.01951,-0.025789,0.5,0.057235,4.0984,0,0,0,-1,-0.0002334,0.0038492,-0.0017054,-0.0028414,-0.92292,0.3805,0.95,0.55,0,-0.5,-0.64575
1.9372,0,-0.00099022,0.098684,-0.041684,0.034631,-0.0079272,-0.062655,0.5,0.047787,2.4107,0,0,0,-1,-1.5683e-05,-0.00029932,0.0013649,0.0012116,0.19283,-0.981,0.95,0.55,0,0.22024,-1.1614
1.8497,0,4.816e-05,0.10879,-0.030465,0.0090437,0.013586,-0.057266,0.5,0.052558,2.9824,0,0,0,-1,-0.0001381,-0.00083917,0.0027641,9.1686e-05,0.26647,-0.96321,0.95,0.55,0,0.26019,-1.1523
1.287,0,0.000705,-0.0094005,0.0019546,-0.00068584,-0.0078629,-0.016031,0.5,0.048659,4.3438,0,0,0,-1,-0.00034206,-0.0033033,-0.00035511,-0.004342,0.99546,0.08638,0.95,0.55,0,0.52941,-0.76919
1.3393,0,-4.8292e-05,0.0053695,0.011237,-0.0017,0.0028495,-0.013322,0.5,0.059102,4.4904,0,0,0,-1,0.00011695,-0.0052389,0.00077114,-0.0063683,0.99223,-0.099905,0.95,0.55,0,0.52884,-0.84229
1.2865,0,0.0011042,0.0077543,-0.00091743,0.00074152,0.0064244,-0.018651,0.5,0.057994,4.3529,0,0,0,-1,-5.1844e-05,0.0052453,-0.00047395,-0.0037275,-0.99655,0.073821,0.95,0.55,0,-0.53172,-0.77527
1.3877,0,-0.0012173,0.024538,0.01815,-0.0031039,0.014869,-0.014282,0.5,0.055923,4.5927,0,0,0,-1,0.00017012,-0.0033763,0.0011507,-0.0048686,0.95615,-0.28931,0.95,0.55,0,0.51526,-0.91311
1.5235,0,-0.0013056,0.087638,0.014061,0.0027877,0.026134,-0.045036,0.5,0.054647,4.5353,0,0,0,-1,0.0001327,-0.0026222,0.0025394,-0.0036153,0.69121,-0.72069,0.95,0.55,0,0.42393,-1.0627
1.4934,0,-0.00087214,0.07437,0.018735,0.0081334,0.027757,-0.036925,0.5,0.055171,4.6476,0,0,0,-1,0.0002268,-0.0033215,0.0023178,-0.0055734,0.76498,-0.64171,0.95,0.55,0,0.44913,-1.0359
2.4678,0,0.0066124,-0.032589,-0.047823,0.0028487,-0.0068005,-0.047189,0.5,0.065349,0.78877,0,0,0,-1,-8.3371e-05,-7.6272e-05,0.0010334,-0.0097004,-0.0032001,-0.9999,0.95,0.55,0,-0.048786,-1.1787
2.4762,0,0.0063352,-0.031443,-0.047702,0.0023131,-0.0057137,-0.047074,0.5,0.065558,0.76598,0,0,0,-1,-8.4743e-05,-8.0216e-05,0.0010336,-0.0096091,-0.0016194,-0.99995,0.95,0.55,0,-0.046632,-1.1787
1.2274,0,0.0014471,-0.019947,-0.012409,-0.00048534,-0.016674,-0.023156,0.5,0.056849,4.1763,0,0,0,-1,-2.3627e-06,-0.0036394,-0.0010889,-0.0042624,0.95172,0.30121,0.95,0.55,0,0.51135,-0.67965
1.2088,0,0.00093284,-0.02267,-0.0172,-0.00065546,-0.019096,-0.026275,0.5,0.054843,4.1239,0,0,0,-1,0.00013642,-0.0035323,-0.0010734,-0.0041653,0.9242,0.37887,0.95,0.55,0,0.49916,-0.64588
1.1983,0,0.00081876,-0.023785,-0.019351,-0.00082731,-0.02004,-0.02783,0.5,0.055559,4.0905,0,0,0,-1,0.00021119,-0.0034589,-0.0014462,-0.0042789,0.90722,0.41665,0.95,0.55,0,0.49169,-0.62909
1.1871,0,0.0021459,0.02376,-0.023966,0.00045277,0.021737,-0.028225,0.5,0.054798,4.0392,0,0,0,-1,-0.00017101,0.0035027,-0.0014947,-0.0029411,-0.89,0.45297,0.95,0.55,0,-0.48509,-0.61333
1.6219,0,0.00065956,-0.11074,-0.013672,0.0018077,0.0045706,-0.075171,0.5,0.057182,4.083,0,0,0,-1,-0.00031155,0.0019288,0.0036749,-0.0013221,-0.46129,-0.88652,0.95,0.55,0,-0.34171,-1.1254
1.6253,0,0.00089915,-0.11076,-0.014758,-0.0025882,-0.0010533,-0.071563,0.5,0.05668,4.0593,0,0,0,-1,-0.00031024,0.0018711,0.0036172,-0.0015593,-0.45565,-0.89005,0.95,0.55,0,-0.33969,-1.1266
1.5695,0,-0.0019342,0.10825,0.0046605,-0.0137,0.02146,-0.054689,0.5,0.052891,4.3042,0,0,0,-1,0.00017958,-0.0019856,0.0028489,-0.0019289,0.55977,-0.82741,0.95,0.55,0,0.37861,-1.0994
